Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Pressing for Reasoning,0.022472217473531085,0.27654681358876965,0.3652049371940391
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,None,0.008981051509363546,0.528814180613437,0.5648951253200105
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,0.010220944729003907,0.047415053709703434,0.08733738712339711
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,0.036126398736344545,0.4525225750118983,0.5962290471589999
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Restating,0.028185730153214638,0.5157447448064905,0.6248915351610358
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Revoicing,0.0233624447795807,0.2545288357737968,0.3480525498380901
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,0.012285047988245602,0.5234854683127591,0.5729931144133222
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,0.021792937774660178,0.2532917617920966,0.34050169651570616
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,None,0.009007204479159424,0.5505043073443017,0.5857825788644018
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Keeping Everyone Together,0.010256739549077607,0.05319512569978695,0.09390514343542516
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,0.03987780261939662,0.453938790455577,0.613968236619804
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Restating,0.030703493840776683,0.5480285703400123,0.6704691907739981
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Revoicing,0.025464654836664543,0.31142177787697656,0.4137671284443399
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Accuracy,0.013310298331393283,0.5357871713941242,0.586592041553827
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Reasoning,0.01841522031483321,0.21428920484304187,0.2848568046215499
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,None,0.008200611313470958,0.5698867319945335,0.6031603217231721
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Keeping Everyone Together,0.01142293532941844,0.08875163055362774,0.1333131178609368
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,0.03338539783277188,0.4984608018894871,0.6304162103872581
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Restating,0.030369210466041765,0.5329633911238594,0.653833300157958
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Revoicing,0.026302510895120933,0.2707203805524337,0.37041636360787933
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Accuracy,0.011738911134683954,0.5908922440689032,0.6362466224029993
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Reasoning,0.021507675928070614,0.252974199120674,0.3364388260006455
TalkMoves_Teacher_OneShot,openai.gpt-5,None,0.008652289133768068,0.5767775252168278,0.6102544127428384
TalkMoves_Teacher_OneShot,openai.gpt-5,Keeping Everyone Together,0.010069477697831852,0.04931143740840248,0.08868091965299371
TalkMoves_Teacher_OneShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.030885750255447555,0.545019208812129,0.6662939630796804
TalkMoves_Teacher_OneShot,openai.gpt-5,Restating,0.030188285800915357,0.6296890649220637,0.7514321364328705
TalkMoves_Teacher_OneShot,openai.gpt-5,Revoicing,0.023974521216795008,0.34186519010910066,0.4372073005756218
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Accuracy,0.011826684543939085,0.5807134471397327,0.6264920443004611
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Reasoning,0.02102008831170641,0.2567041980527781,0.33767220301336087
TalkMoves_Teacher_OneShot,openai.o3,None,0.008324751904586284,0.5823366994324292,0.6155603861805387
TalkMoves_Teacher_OneShot,openai.o3,Keeping Everyone Together,0.012801128602639397,0.1538519234907004,0.20498833538950245
TalkMoves_Teacher_OneShot,openai.o3,Getting Students to Relate to Another's Ideas,0.03207797497865998,0.519064498580351,0.6427921438713967
TalkMoves_Teacher_OneShot,openai.o3,Restating,0.031998189496506374,0.5327425570157588,0.6589399115279594
TalkMoves_Teacher_OneShot,openai.o3,Revoicing,0.02520555343287537,0.2855201940408981,0.3835304666360043
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Accuracy,0.012726556418198441,0.5284364899284388,0.5779220819985207
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Reasoning,0.017998656199790238,0.20508861624630226,0.27512078576818155
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,None,0.008501298112949017,0.5683228565682396,0.6015115697475025
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Keeping Everyone Together,0.011981817366339732,0.10282751644786159,0.1486994548235379
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,0.030774154333593345,0.5224939443525197,0.6424214702845313
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Restating,0.029381607638336086,0.578840010090136,0.6922584256947245
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Revoicing,0.022528279294771934,0.2860127394742084,0.37614405509987864
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Pressing for Accuracy,0.012165554487505904,0.5928717018949122,0.6408665693383758
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-opus,Pressing for Reasoning,0.023585736498083477,0.27007711068529555,0.36404927760066186
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,None,0.008908302009071065,0.5006618090090552,0.5353631417389428
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,0.010707196694452855,0.054673761494173904,0.09659328269770202
