Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Keeping Everyone Together,1431,2480,0.7918367346938775,0.3225770698255734
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Accuracy,1367,1393,0.9198860939724727,0.6481125756080641
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Reasoning,124,480,0.9656383483626009,0.38923623900962384
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Revoicing,242,447,0.9613668723303275,0.391141375355409
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Restating,138,173,0.9917418130042714,0.7161201460554395
TalkMoves_Teacher_FewShot_ALL,openai.o3,None,7072,5248,0.7543926298793807,0.5093132820929511
TalkMoves_Teacher_FewShot_ALL,openai.o3,Getting Students to Relate to Another's Ideas,156,180,0.9882230031342008,0.6249994255488293
TalkMoves_Teacher_FewShot_ALL,openai.o3,Keeping Everyone Together,1431,2566,0.7824104853262418,0.30565408043247266
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Accuracy,1367,1217,0.9095830563206382,0.5802449097051557
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Reasoning,124,699,0.9440592648874537,0.26971619809903635
TalkMoves_Teacher_FewShot_ALL,openai.o3,Revoicing,242,397,0.9611549054990978,0.34112024343153236
TalkMoves_Teacher_FewShot_ALL,openai.o3,Restating,137,222,0.9854687054801026,0.566845644477414
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,None,7060,7466,0.8227125737112422,0.5857203724718774
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Getting Students to Relate to Another's Ideas,156,162,0.9895377591782385,0.6487785264574627
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Keeping Everyone Together,1427,438,0.8522921818527678,0.11059234608731265
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Pressing for Accuracy,1367,1132,0.921533193836789,0.6257894550198841
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Pressing for Reasoning,124,597,0.9544416967852387,0.3224109987732309
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Revoicing,242,491,0.9561536998287997,0.3510674218830124
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-opus,Restating,138,228,0.9885866463762603,0.6666804043964973
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,None,7067,7730,0.8100351610757388,0.5471665550377346
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,103,0.9885013779340492,0.5272442460441973
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1429,289,0.8547942601919605,0.06801359010539505
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1367,1048,0.9081060534068232,0.5487038587733538
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,614,0.9515347334410339,0.2951221363799114
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Revoicing,242,460,0.9549558110804903,0.3038037793533828
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Restating,138,279,0.9833697614748645,0.572839750160458
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,None,6889,7561,0.8193686671862821,0.5688776692683818
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,155,105,0.9883086515978177,0.5327625384565796
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Keeping Everyone Together,1393,274,0.8560989867498051,0.07260145824937073
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Accuracy,1335,927,0.9134840218238504,0.560582502871699
