Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_ALL,openai.o3,Getting Students to Relate to Another's Ideas,306,357,0.9881511482614503,0.5792445067378176
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Accuracy,3076,2575,0.9015468137360507,0.5400976314317756
TalkMoves_Teacher_FewShot_ALL,openai.o3,Restating,295,274,0.9821190055581887,0.2616112940395796
TalkMoves_Teacher_FewShot_ALL,openai.o3,Revoicing,562,652,0.9601016846912835,0.21686296896411486
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,None,15618,17220,0.786625301620131,0.48744171270351583
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,3071,843,0.8547052740434333,0.08640167784583812
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,280,1717,0.9367028610823854,0.24881215883994565
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,306,280,0.988279903481558,0.5299130329102322
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,3076,2003,0.8885298173043779,0.4311838859737315
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Restating,295,453,0.9787142364701827,0.3292451800265327
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Revoicing,562,692,0.9583764219234746,0.20851159737763952
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,None,15086,16878,0.7830121341898644,0.4739439945983732
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Keeping Everyone Together,2966,783,0.8500624553890078,0.05104556799513351
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Reasoning,275,1688,0.9361616702355461,0.2553015484347379
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,299,233,0.9888472519628837,0.5245197301403448
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Accuracy,2963,1632,0.8972608850820842,0.4468671520653613
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Restating,286,467,0.9793451106352605,0.375238951984709
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Revoicing,541,735,0.9582441113490364,0.2454790509022268
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,None,15495,17965,0.8129001350115413,0.5337024145490227
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Keeping Everyone Together,3021,502,0.8615478419929445,0.06249155599787306
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Reasoning,277,1275,0.9553155350376725,0.3255488643545043
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Getting Students to Relate to Another's Ideas,296,236,0.9898959104568616,0.558864282673901
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Pressing for Accuracy,3039,2374,0.9206045032881843,0.6189842497802248
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Restating,283,232,0.9850616262357911,0.32650159236634785
TalkMoves_Teacher_OneShot,google.gemini-3-pro-preview,Revoicing,550,377,0.9681634075170942,0.1957655592938544
TalkMoves_Teacher_OneShot,openai.gpt-5,None,15618,16687,0.802266459841434,0.5339088204153336
TalkMoves_Teacher_OneShot,openai.gpt-5,Keeping Everyone Together,3071,1036,0.8531971733884868,0.11109892977959004
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Reasoning,280,1509,0.9462685280937607,0.28848097628385805
TalkMoves_Teacher_OneShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,306,345,0.9886677007928301,0.5902803117994532
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Accuracy,3076,2834,0.9046018614270941,0.5708271335447163
TalkMoves_Teacher_OneShot,openai.gpt-5,Restating,295,195,0.9838848672871424,0.22893379776083342
TalkMoves_Teacher_OneShot,openai.gpt-5,Revoicing,562,602,0.9616511547742158,0.21575137226575783
